Model,SNR,RMSE,PRD,Cosine Similarity
DRNN,Mixed,0.07579074376143448,29.594386138816358,0.9554728976085557
DRNN,0 dB,0.11791397863470941,46.04245375746509,0.8935877487996493
DRNN,3 dB,0.09475740923787494,37.00039370673724,0.9315650229586536
DRNN,6 dB,0.07279830584842402,28.425914123647562,0.9589351842457892
FCN-DAE,Mixed,0.07608761850384364,29.710308286108816,0.9553312925081201
FCN-DAE,0 dB,0.08837859158813727,34.50962526633711,0.9410501668542273
FCN-DAE,3 dB,0.07605317907357059,29.696860551632042,0.9560555023819941
FCN-DAE,6 dB,0.07500798846784351,29.288739812351345,0.9561736803354431
DeepFilter,Mixed,0.06478531630528712,25.297042510877382,0.967575651032773
DeepFilter,0 dB,0.10138567471688738,39.58856527335927,0.9201056536522537
DeepFilter,3 dB,0.08261982509403318,32.26097126386097,0.9469948235111741
DeepFilter,6 dB,0.07024654443440286,27.42951523807413,0.9617801338208419
AttentionSkipDAE,Mixed,0.06957733900903396,27.16820728961413,0.9626020047596557
AttentionSkipDAE,0 dB,0.08326571405570939,32.51317471755462,0.9477515948736579
AttentionSkipDAE,3 dB,0.06640835519952665,25.93079852606618,0.9663548689491679
AttentionSkipDAE,6 dB,0.05624064564958252,21.960562747465843,0.9758580192878266
Transformer_DAE,Mixed,0.06121189190932392,23.901709833514033,0.9724959271337952
Transformer_DAE,0 dB,0.0874828205656886,34.15984912990345,0.9458164816382487
Transformer_DAE,3 dB,0.06709214674205706,26.197801987752733,0.966649511827979
Transformer_DAE,6 dB,0.057213843453417804,22.3405721017322,0.9755813317638832
Transformer_COMBDAE,Mixed,0.05938190746099221,23.187146765464092,0.9730794316193797
Transformer_COMBDAE,0 dB,0.08355399165964915,32.62573989771725,0.9488504458738718
Transformer_COMBDAE,3 dB,0.06491794560254555,25.34883092779463,0.9682042316837685
Transformer_COMBDAE,6 dB,0.05572384693647356,21.758765800863344,0.9765497978015817
